City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ribeira grande,38.52,-28.7,73.4,56,20,13.87,PT,1601396713
atuntaqui,0.33,-78.22,73.4,33,20,8.05,EC,1601396714
rikitea,-23.12,-134.97,70.25,80,100,20.54,PF,1601396714
atar,20.52,-13.05,101.71,14,0,8.23,MR,1601396714
atuona,-9.8,-139.03,77.04,74,0,19.42,PF,1601396715
qaanaaq,77.48,-69.36,16.32,80,31,4.03,GL,1601396715
rosita,13.93,-84.4,89.58,54,38,2.98,NI,1601396716
mahebourg,-20.41,57.7,73.4,88,75,8.05,MU,1601396716
victor harbor,-35.57,138.62,55.0,89,93,9.93,AU,1601396716
galeana,24.83,-100.07,56.12,54,21,6.17,MX,1601396717
aykhal,66.0,111.5,24.8,92,90,8.95,RU,1601396717
ushuaia,-54.8,-68.3,37.4,55,75,17.22,AR,1601396718
nikolskoye,59.7,30.79,55.0,87,75,2.24,RU,1601396718
waipawa,-41.41,175.52,41.0,80,74,5.82,NZ,1601396718
caarapo,-22.63,-54.82,94.71,35,24,10.51,BR,1601396719
hohhot,40.81,111.65,46.4,65,0,4.47,CN,1601396719
yulara,-25.24,130.99,68.0,64,0,8.05,AU,1601396719
bure,10.7,37.07,59.04,90,100,2.55,ET,1601396720
castro,-24.79,-50.01,84.22,46,29,3.6,BR,1601396592
suba,10.84,121.01,82.53,73,100,5.37,PH,1601396720
vaini,-21.2,-175.2,75.2,94,75,5.82,TO,1601396721
bluff,-46.6,168.33,41.0,83,89,13.0,NZ,1601396721
akyab,20.15,92.9,83.08,82,100,4.14,MM,1601396722
college,64.86,-147.8,36.0,92,75,1.45,US,1601396722
syumsi,57.11,51.61,50.4,75,40,1.81,RU,1601396722
cap malheureux,-19.98,57.61,70.0,85,98,3.0,MU,1601396723
kingman,35.19,-114.05,73.4,11,1,4.7,US,1601396723
tasiilaq,65.61,-37.64,33.8,80,75,10.29,GL,1601396723
torbay,47.67,-52.73,73.4,78,75,23.04,CA,1601396724
lorengau,-2.02,147.27,82.02,77,49,8.46,PG,1601396724
vila velha,-20.33,-40.29,84.2,66,0,13.87,BR,1601396553
thompson,55.74,-97.86,46.4,93,75,6.93,CA,1601396725
port hawkesbury,45.62,-61.35,75.99,78,90,11.41,CA,1601396725
punta arenas,-53.15,-70.92,35.6,93,75,18.34,CL,1601396540
thunder bay,48.4,-89.32,54.0,76,90,9.17,CA,1601396475
hermanus,-34.42,19.23,59.0,66,5,1.99,ZA,1601396726
kargat,55.2,80.28,35.04,85,1,8.12,RU,1601396726
saint george,37.1,-113.58,69.01,15,1,3.4,US,1601396629
pacifica,37.61,-122.49,64.99,77,40,9.17,US,1601396727
tortoli,39.93,9.66,73.4,60,40,4.7,IT,1601396727
tiksi,71.69,128.87,34.0,96,100,7.61,RU,1601396728
teya,60.38,92.63,28.89,96,28,2.89,RU,1601396728
saint anthony,45.02,-93.22,55.99,62,90,6.93,US,1601396728
mataura,-46.19,168.86,41.0,83,97,13.0,NZ,1601396729
dikson,73.51,80.55,34.86,84,92,18.12,RU,1601396729
cidreira,-30.18,-50.21,64.56,71,0,12.59,BR,1601396729
hobart,-42.88,147.33,52.0,62,100,9.17,AU,1601396492
pisco,-13.7,-76.22,66.99,77,1,11.41,PE,1601396671
beringovskiy,63.05,179.32,40.39,75,0,4.27,RU,1601396730
huanren,41.26,125.37,45.48,83,63,3.74,CN,1601396730
butaritari,3.07,172.79,81.18,77,62,17.47,KI,1601396731
ifanadiana,-21.3,47.63,63.91,79,0,1.79,MG,1601396731
tura,25.52,90.22,75.7,89,37,2.48,IN,1601396732
xichang,27.9,102.26,66.72,69,90,1.3,CN,1601396732
port alfred,-33.59,26.89,59.31,70,9,12.28,ZA,1601396733
canatlan,24.52,-104.78,64.4,59,75,8.05,MX,1601396733
labrea,-7.26,-64.8,101.05,31,7,3.22,BR,1601396733
garissa,-0.45,39.64,86.09,48,100,15.88,KE,1601396734
souillac,-20.52,57.52,73.4,88,75,8.05,MU,1601396734
abha,18.22,42.51,77.0,13,7,9.17,SA,1601397022
saskylakh,71.92,114.08,27.37,95,98,8.5,RU,1601396735
mar del plata,-38.0,-57.56,71.6,43,50,20.8,AR,1601396494
jamestown,42.1,-79.24,59.0,82,75,10.29,US,1601396536
itupiranga,-5.13,-49.33,93.2,59,40,6.93,BR,1601396598
cayenne,4.93,-52.33,89.6,59,40,12.75,GF,1601396736
barrow,71.29,-156.79,32.0,97,90,8.05,US,1601396463
broken hill,-31.95,141.43,55.4,87,90,3.36,AU,1601396736
troitsko-pechorsk,62.71,56.2,48.11,92,0,4.76,RU,1601396737
norman wells,65.28,-126.83,39.2,93,75,13.87,CA,1601396737
kamenka,51.32,42.77,57.0,35,83,10.42,RU,1601396737
gat,31.61,34.76,84.2,74,20,6.93,IL,1601396521
sikasso,10.92,-7.0,91.71,50,57,5.21,ML,1601396738
longyearbyen,78.22,15.64,41.0,80,75,16.11,SJ,1601396644
sohagpur,22.7,78.2,75.81,80,43,3.18,IN,1601396739
kamaishi,39.27,141.88,58.35,68,100,2.64,JP,1601396739
zhigalovo,54.81,105.16,38.16,86,95,3.24,RU,1601396739
sur,22.57,59.53,84.0,57,0,7.83,OM,1601396740
evensk,61.95,159.23,40.51,84,100,4.85,RU,1601396740
severo-kurilsk,50.68,156.12,50.77,81,61,12.46,RU,1601396741
kapaa,22.08,-159.32,71.6,88,1,8.05,US,1601396741
port-gentil,-0.72,8.78,84.2,66,20,13.87,GA,1601396742
balotra,25.83,72.23,90.45,35,80,2.62,IN,1601396742
zhigansk,66.77,123.37,33.12,92,93,19.6,RU,1601396743
ancud,-41.87,-73.82,39.0,94,100,4.0,CL,1601396743
abaza,52.66,90.09,39.58,80,100,2.44,RU,1601396744
la ronge,55.1,-105.28,53.6,58,40,12.75,CA,1601396744
lompoc,34.64,-120.46,57.2,93,90,4.43,US,1601396541
east london,-33.02,27.91,59.0,72,40,14.99,ZA,1601396745
mocuba,-16.84,36.99,83.26,50,67,10.25,MZ,1601396745
nabire,-3.37,135.48,76.35,88,98,3.8,ID,1601396745
bredasdorp,-34.53,20.04,60.8,48,72,12.75,ZA,1601396746
khatanga,71.97,102.5,31.23,99,100,10.45,RU,1601396746
mehamn,71.04,27.85,55.4,71,0,12.75,NO,1601396747
bachaquero,9.97,-71.15,86.23,69,100,5.12,VE,1601396747
bethel,41.37,-73.41,71.01,88,90,5.82,US,1601396449
port hedland,-20.32,118.57,69.8,68,0,6.93,AU,1601396747
saint-philippe,-21.36,55.77,73.4,78,49,12.75,RE,1601396748
ambilobe,-13.2,49.05,74.19,84,65,0.4,MG,1601396748
kichera,55.94,110.1,41.72,81,100,3.74,RU,1601396749
shestakovo,56.49,103.96,42.1,91,100,3.74,RU,1601396749
albany,42.6,-73.97,73.0,79,49,4.0,US,1601396750
ponta do sol,32.67,-17.1,73.4,64,40,10.29,PT,1601396750
loreto,22.27,-101.97,64.98,57,48,14.81,MX,1601396750
krasnoselkup,65.7,82.47,35.91,85,100,10.67,RU,1601396751
hilo,19.73,-155.09,71.01,64,20,6.93,US,1601396683
yellowknife,62.46,-114.35,42.8,87,75,14.99,CA,1601396752
benicarlo,40.42,0.43,68.0,71,0,4.0,ES,1601396752
tynda,55.17,124.72,33.8,91,7,1.61,RU,1601396752
pevek,69.7,170.31,38.68,74,100,19.55,RU,1601396753
joshimath,30.57,79.57,57.85,47,12,3.09,IN,1601396753
provideniya,64.38,-173.3,36.99,80,100,4.65,RU,1601396754
havoysund,71.0,24.66,53.6,76,21,13.87,NO,1601396754
tenenkou,14.46,-4.92,102.31,19,14,6.11,ML,1601396754
adrar,20.5,-10.07,99.27,14,0,4.85,MR,1601396755
sao joao da barra,-21.64,-41.05,82.4,65,40,20.8,BR,1601396755
puerto ayora,-0.74,-90.35,69.8,77,90,14.99,EC,1601396526
barra patuca,15.8,-84.28,87.42,62,1,6.33,HN,1601396755
lagoa,39.05,-27.98,66.63,66,12,11.41,PT,1601396756
kyela,-9.58,33.85,76.1,64,53,1.16,TZ,1601396756
miri,4.41,114.01,78.01,100,20,1.12,MY,1601396757
airai,-8.93,125.41,59.18,83,75,2.84,TL,1601396757
phrae,18.08,100.0,72.79,98,100,1.34,TH,1601396757
camacha,33.08,-16.33,73.4,64,40,13.87,PT,1601396758
brasy,49.84,13.58,57.0,100,97,0.85,CZ,1601396758
nkayi,-4.18,13.29,93.69,33,34,8.03,CG,1601396759
ossora,59.24,163.07,44.51,88,100,16.46,RU,1601396759
new norfolk,-42.78,147.06,52.0,59,100,3.02,AU,1601396760
sidney,-33.87,151.21,55.4,71,75,4.7,AU,1601396741
busselton,-33.65,115.33,59.0,79,97,8.28,AU,1601396760
lethem,3.38,-59.8,92.08,47,37,10.74,GY,1601396761
vanavara,60.34,102.28,27.64,94,73,4.18,RU,1601396761
chokurdakh,70.63,147.92,35.13,92,19,6.08,RU,1601396761
tezu,27.92,96.17,77.29,71,14,3.29,IN,1601396762
grindavik,63.84,-22.43,44.6,75,40,10.29,IS,1601396762
margate,51.38,1.39,62.01,71,56,5.99,GB,1601396581
avarua,-21.21,-159.78,71.6,83,40,10.29,CK,1601396676
el alto,-4.27,-81.21,75.2,57,0,14.99,PE,1601396763
pafos,34.77,32.42,82.0,62,20,12.75,CY,1601396559
cuamba,-14.8,36.54,84.92,26,64,4.5,MZ,1601396764
cerqueira cesar,-23.04,-49.17,87.89,44,60,6.8,BR,1601396764
havelock,34.88,-76.9,75.99,94,20,8.05,US,1601396764
magaria,13.0,8.91,92.53,36,100,12.08,NE,1601396765
cibitoke,-2.88,29.25,68.25,80,99,2.35,BI,1601396765
sistranda,63.73,8.83,53.6,93,40,2.24,NO,1601396765
bonavista,48.65,-53.11,65.68,76,93,19.01,CA,1601396766
road town,18.42,-64.62,86.0,74,40,12.75,VG,1601396477
marzuq,14.4,46.47,79.29,58,13,8.1,YE,1601396766
katsuura,35.13,140.3,66.2,59,75,13.87,JP,1601396767
jacareacanga,-6.22,-57.75,99.79,31,0,5.12,BR,1601396768
general pico,-35.66,-63.76,74.84,38,0,13.24,AR,1601396475
galle,6.04,80.22,80.22,83,100,11.43,LK,1601396768
san patricio,19.22,-104.7,91.4,63,40,1.52,MX,1601396769
kaseda,31.42,130.32,70.34,77,95,5.21,JP,1601396769
faanui,-16.48,-151.75,77.9,76,1,22.57,PF,1601396769
pinawa,50.15,-95.88,55.04,70,34,9.95,CA,1601396710
melilla,35.29,-2.94,77.0,78,40,8.05,ES,1601396479
salalah,17.02,54.09,80.6,74,20,8.05,OM,1601396770
kavaratti,10.57,72.64,81.25,80,27,14.09,IN,1601396771
rawson,-43.3,-65.1,54.0,63,0,11.41,AR,1601396771
maceio,-9.67,-35.74,84.2,62,40,13.87,BR,1601396771
bontang,0.13,117.5,80.56,79,0,4.05,ID,1601396772
mandera,3.94,41.87,92.86,30,88,16.17,KE,1601396772
batagay,67.63,134.63,38.91,72,100,7.34,RU,1601396773
olafsvik,64.89,-23.71,38.3,90,100,10.16,IS,1601396773
vardo,70.37,31.11,51.8,87,40,33.33,NO,1601396773
prestea,5.43,-2.14,82.96,72,92,7.63,GH,1601396774
auki,-8.77,160.7,75.88,81,91,4.45,SB,1601396774
arraial do cabo,-22.97,-42.03,80.6,78,40,9.17,BR,1601396774
qui nhon,13.77,109.23,81.12,74,100,6.82,VN,1601396775
luderitz,-26.65,15.16,68.45,35,0,30.15,NA,1601396775
vilyuysk,63.76,121.62,30.78,93,0,8.99,RU,1601396776
qidong,31.81,121.66,73.0,76,91,0.87,CN,1601396776
sao filipe,14.9,-24.5,80.01,76,35,11.61,CV,1601396777
avera,33.19,-82.53,82.4,78,40,11.41,US,1601396777
villazon,-22.09,-65.59,63.5,22,83,9.13,BO,1601396777
upernavik,72.79,-56.15,24.13,86,84,4.88,GL,1601396778
santa maria,-29.68,-53.81,69.8,56,61,11.41,BR,1601396778
pandamatenga,-18.53,25.63,87.76,22,91,5.28,BW,1601396778
kirakira,-10.45,161.92,77.65,80,4,6.11,SB,1601396779
